pair_id,status,dst_track_id,dst_youtube_id,src_track_id,src_youtube_id,whosampled_id
1,used,T001,6jgBcsRCqI8,T002,1dSRzxg7p1E,1178057
2,used,T003,N9bKBAA22Go,T004,kdf_GIV9Svo,1158521
3,used,T005,xeKSdJqFM6o,T006,UXBIrO-VlSM,1167203
4,used,T007,U8QhB8_0t2g,T008,vWz9VN40nCA,1285693
5,used,T009,h1AM48ZpSnw,T010,yU8IZ1gBwBU,1258904
6,used,T011,iD__IJWqwY8,T012,a_O1kI6B9Bc,1136450
7,used,T013,MEv4Hzf8Hhw,T014,CoCaPJWqa28,1028230
8,used,T015,421w1j87fEM,T016,9_hKXk2qSuw,942772
9,used,T017,f36toA5VsoA,T018,hQOTdhuLBK8,1272964
10,used,T019,r6glBvXN6H0,T020,S6yuR8efotI,918113
11,used,T021,AxE6wEuLHQ0,T022,Q7vn-jG86l4,873084
12,used,T023,wNMZRTROYuw,T024,B9dSYgd5Elk,773975
13,used,T025,BC19kwABFwc,T026,PtJDq7f_EF0,729975
14,used,T027,Gb76TgCUqAY,T028,2T57PF55qoI,648348
15,used,T029,VponTolIydo,T030,YHJp4LpQaFY,1244652
16,used,T031,cL3ypGWhcOQ,T032,HakFFSDlbYw,618470
17,used,T033,9MJr4BnO-g4,T034,Wy-v-FgiUD8,507393
18,used,T035,_P7S2lKif-A,T036,Datoqxx-biw,525179
19,used,T037,NnMuFqsmYSE,T038,YACa9jmpmc0,401053
20,used,T039,eu0KsZ_MVBc,T040,ZHRnLmsjex0,436053
21,used,T041,hyiku5iCJeU,T042,8hTKHS3wOgY,485605
22,used,T043,GNCd_ERZvZM,T044,WRWtvbyprgo,358658
23,used,T045,ooJiCv4ALmo,T046,kWWJTjP-_64,400226
24,used,T047,5Z9t0VkxPCY,T048,XKCD99urScc,256763
25,used,T049,igI0C53Mr9U,T050,qTA0RuZoIxM,718153
26,commented_out,T051,5N48IErOVP0,T052,T5EOsc5_bvg,552648
27,used,T053,3jRM45yO9Rg,T054,aiwA0JrGfjA,401979
28,used,T055,fbFnF-86eYs,T056,JpYPoMZhdyU,109674
29,used,T057,Vr2SlG9i9b4,T058,5mqvomO7eO8,186319
30,used,T059,jgBWeoJdbhA,T060,CpMwbK9F8KY,100414
31,used,T061,Mxwr20HFQsA,T062,7j_yGYU_jUU,82884
32,used,T063,voBNpdXkLnU,T064,pegKuWUR84Y,51540
33,used,T065,3ym_uuCWpzQ,T066,1WvxTE08tHU,1081378
34,used,T067,kxSDM5glQyo,T068,87OkQYOMyZQ,133240
