Sample_id	whosampled_url	destination_url	source_url
S001	https://www.whosampled.com/sample/2238/O.C.-Time%27s-Up-Les-DeMerle-A-Day-in-the-Life/	https://www.youtube.com/watch?v=6gNmCGQRpcc	https://www.youtube.com/watch?v=DkQFAxSwwjk
S002	https://www.whosampled.com/sample/991/Lil-Wayne-Dr.-Carter-David-Axelrod-Holy-Thursday/	https://www.youtube.com/watch?v=WxPnAErnJ9A	https://www.youtube.com/watch?v=8j8pSu3U7WM
S004	https://www.whosampled.com/sample/20324/Common-In-My-Own-World-(Check-the-Method)-Clyde-McPhatter-The-Mixed-Up-Cup/	https://www.youtube.com/watch?v=_0aP1wjOt7E	https://www.youtube.com/watch?v=3ofnKqgTdSk
S005	https://www.whosampled.com/sample/3514/The-Beatnuts-Let-Off-a-Couple-Monty-Alexander-Love-and-Happiness	https://www.youtube.com/watch?v=GX4hoAof2wQ	https://www.youtube.com/watch?v=YqAQiQ63r0A
S006	https://www.whosampled.com/sample/1340/Beastie-Boys-Rhymin-%26-Stealin-Led-Zeppelin-When-the-Levee-Breaks/	https://www.youtube.com/watch?v=Xdutu8sWmbQ	https://www.youtube.com/watch?v=b97hqSDRspw
S007	https://www.whosampled.com/sample/23/Blackstreet-Dr.-Dre-Queen-Pen-No-Diggity-Bill-Withers-Grandma%27s-Hands/	https://www.youtube.com/watch?v=3KL9mRus19o	https://www.youtube.com/watch?v=TdrChyGb574
S008	https://www.whosampled.com/sample/521/Jay-Z-Roc-Boys-(And-the-Winner-Is)...-Menahan-Street-Band-Make-the-Road-by-Walking/	https://www.youtube.com/watch?v=Revmkhxu7dk	https://www.youtube.com/watch?v=iV93hXBZinw
S009	https://www.whosampled.com/sample/120/A-Tribe-Called-Quest-Can-I-Kick-It%3F-Lou-Reed-Walk-on-the-Wild-Side/	https://www.youtube.com/watch?v=ZrlJX7DzLhI	https://www.youtube.com/watch?v=oG6fayQBm9w
S010	https://www.whosampled.com/sample/622/House-of-Pain-Jump-Around-Bob-%26-Earl-Harlem-Shuffle/	https://www.youtube.com/watch?v=yYl597lyZvo	https://www.youtube.com/watch?v=d5ecHB-c2wo
S012	https://www.whosampled.com/sample/47/Will-Smith-Miami-The-Whispers-And-the-Beat-Goes-On/	https://www.youtube.com/watch?v=IwBS6QGsH_4	https://www.youtube.com/watch?v=fOaxEa5ONJw
S013	https://www.whosampled.com/sample/14037/Asheru-Talib-Kweli-Mood-Swing-Duke-Ellington-John-Coltrane-In-a-Sentimental-Mood/	https://www.youtube.com/watch?v=4qsMwm8JKM0	https://www.youtube.com/watch?v=sCQfTNOC5aE
S014	https://www.whosampled.com/sample/1158/Wu-Tang-Clan-C.R.E.A.M.-The-Charmels-As-Long-as-I%27ve-Got-You/	https://www.youtube.com/watch?v=PBwAxmrE194	https://www.youtube.com/watch?v=gp9uZjPaB4w
S015	https://www.whosampled.com/sample/4692/Beastie-Boys-Rock-Hard-ACDC-Back-in-Black/	https://www.youtube.com/watch?v=dsVAOjVYQnY	https://www.youtube.com/watch?v=pAgnJDJN4VA
S016	https://www.whosampled.com/sample/1164/Wu-Tang-Clan-Tearz-Wendy-Rene-After-Laughter-(Comes-Tears)/	https://www.youtube.com/watch?v=B0KLqZP1UFs	https://www.youtube.com/watch?v=H3xZYnhxeT8
S017	https://www.whosampled.com/sample/6394/Non-Phixion-Rock-Stars-Bar-Kays-In-the-Hole/	https://www.youtube.com/watch?v=ibUCRXlRk7Y	https://www.youtube.com/watch?v=M-mWh1uOQ9Y
