sample_id,whosampled_id
S001,2238
S002,991
S004,20324
S005,3514
S006,1340
S007,23
S008,521
S009,120
S010,622
S012,47
S013,14037
S014,1158
S015,4692
S016,1164
S017,6394
S018,22803
S019,1764
S020,1384
S021,12020
S022,189
S023,2064
S024,4196
S025,4657
S027,14255
S028,14254
S030,11607
S031,35245
S032,11610
S033,804
S035,4125
S036,266
S037,666
S038,104
S039,8327
S040,153
S041,3147
S042,237
S043,17600
S044,17182
S046,249
S047,10934
S048,35246
S049,889
S051,806
S052,2291
S054,12802
S055,3410
S056,926
S057,56949
S060,6501
S061,6910
S062,9640
S063,2667
S064,9537
S067,74883
S068,13166
S069,31178
S071,21298
S072,21299
S073,4380
S078,14313
S079,24518
S080,69632
S081,2848
S082,25591
S083,9053
S084,16084
S086,3478
S089,73415
S091,20125
S092,11393
S094,29796
S098,96545
S101,44
S103,222
S104,775
S106,33417
S107,2809
S109,1044
S112,1056
S113,2283
S114,1193
S115,2134
S116,57068
S120,781
S121,8327
S122,17600
S123,104
S125,4196
S126,12020
S127,6394
S128,1164
S129,14037
S130,521
S131,991
S134,29796
S135,781
S136,781
S137,96545
